lga_id,LGA,Dwellings Count
LGA293,Adelaide Plains,4006
LGA294,Alexandrina,16760
LGA295,Anangu Pitjantjatjara Yunkunytjatjara,778
LGA296,Barossa,11044
LGA297,Barunga West,1928
LGA298,Berri Barmera,5257
LGA299,Burnside,19630
LGA300,Campbelltown (SA),23247
LGA301,Ceduna,1909
LGA302,Charles Sturt,54847
LGA303,Clare and Gilbert Valleys,4678
LGA304,Cleve,975
LGA305,Coober Pedy,1481
LGA306,Copper Coast,9242
LGA307,Elliston,849
LGA308,Flinders Ranges,1084
LGA309,Franklin Harbour,876
LGA310,Gawler,11126
LGA311,Goyder,2371
LGA312,Grant,3745
LGA313,Holdfast Bay,18707
LGA314,Kangaroo Island,3350
LGA315,Karoonda East Murray,610
LGA316,Kimba,616
LGA317,Kingston (SA),1733
LGA318,Light,6046
LGA319,Lower Eyre Peninsula,3028
LGA320,Loxton Waikerie,5787
LGA321,Maralinga Tjarutja,41
LGA322,Marion,41654
LGA323,Mid Murray,7413
LGA324,Mitcham,27169
LGA325,Mount Barker,16054
LGA326,Mount Gambier,12789
LGA327,Mount Remarkable,1866
LGA328,Murray Bridge,10164
LGA329,Naracoorte Lucindale,4076
LGA330,Northern Areas,2424
LGA331,Norwood Payneham and St Peters,18126
LGA332,Onkaparinga,75493
LGA333,Orroroo Carrieton,541
LGA334,Peterborough,1073
LGA335,Playford,39505
LGA336,Port Adelaide Enfield,56716
LGA337,Port Augusta,7015
LGA338,Port Lincoln,6970
LGA339,Port Pirie,8589
LGA340,Prospect,9474
LGA341,Renmark Paringa,4669
LGA342,Robe,1669
LGA343,Roxby Downs,1781
LGA344,Salisbury,57117
LGA345,Southern Mallee,1077
LGA346,Streaky Bay,1393
LGA347,Tatiara,3194
LGA348,Tea Tree Gully,41034
LGA349,Coorong,3106
LGA350,Tumby Bay,1681
LGA351,Unley,17360
LGA352,Victor Harbor,9764
LGA353,Wakefield,3348
LGA354,Walkerville,3663
LGA355,Wattle Range,6114
LGA356,West Torrens,27977
LGA357,Whyalla,11247
LGA358,Wudinna,616
LGA359,Yankalilla,4403
LGA360,Yorke Peninsula,10310
LGA361,Unincorporated SA,2910
LGA362,Migratory - Offshore - Shipping (SA),11
LGA363,Albany,18033
LGA364,Armadale,36306
LGA365,Ashburton,3727
LGA366,Augusta Margaret River,8918
LGA367,Bassendean,7187
LGA368,Bayswater,32165
LGA369,Belmont,20355
LGA370,Beverley,971
LGA371,Boddington,839
LGA372,Boyup Brook,927
LGA373,Bridgetown-Greenbushes,2688
LGA374,Brookton,482
LGA375,Broome,9419
LGA376,Broomehill-Tambellup,577
LGA377,Bruce Rock,425
LGA378,Bunbury,15960
LGA379,Busselton,21315
LGA380,Cambridge,11522
LGA381,Canning,37259
LGA382,Capel,7110
LGA383,Carnamah,371
LGA384,Carnarvon,3763
LGA385,Chapman Valley,694
LGA386,Chittering,2410
LGA387,Christmas Island,623
LGA388,Claremont,5251
LGA389,Cockburn,48428
LGA390,Cocos Islands,204
LGA391,Collie,4121
LGA392,Coolgardie,1798
LGA393,Coorow,947
LGA394,Corrigin,508
LGA395,Cottesloe,3612
LGA396,Cranbrook,612
LGA397,Cuballing,488
LGA398,Cue,204
LGA399,Cunderdin,659
LGA400,Dalwallinu,611
LGA401,Dandaragan,2805
LGA402,Dardanup,6053
LGA403,Denmark,3670
LGA404,Derby-West Kimberley,3604
LGA405,Donnybrook-Balingup,2821
LGA406,Dowerin,422
LGA407,Dumbleyung,335
LGA408,Dundas,632
LGA409,East Fremantle,3327
LGA410,East Pilbara,3625
LGA411,Esperance,6844
LGA412,Exmouth,2662
LGA413,Fremantle,15751
LGA414,Gingin,4107
LGA415,Gnowangerup,671
LGA416,Goomalling,527
LGA417,Gosnells,47117
LGA418,Greater Geraldton,18018
LGA419,Halls Creek,1674
LGA420,Harvey,11874
LGA421,Irwin,2163
LGA422,Jerramungup,913
LGA423,Joondalup,62177
LGA424,Kalamunda,23347
LGA425,Kalgoorlie-Boulder,13248
LGA426,Karratha,10056
LGA427,Katanning,1843
LGA428,Kellerberrin,621
LGA429,Kent,266
LGA430,Kojonup,1037
LGA431,Kondinin,471
LGA432,Koorda,246
LGA433,Kulin,396
LGA434,Kwinana,17628
LGA435,Lake Grace,751
LGA436,Laverton,396
LGA437,Leonora,839
LGA438,Mandurah,44140
LGA439,Manjimup,5035
LGA440,Meekatharra,608
LGA441,Melville,42920
LGA442,Menzies,237
LGA443,Merredin,1636
LGA444,Mingenew,274
LGA445,Moora,1156
LGA446,Morawa,320
LGA447,Mosman Park,4122
LGA448,Mount Magnet,410
LGA449,Mount Marshall,315
LGA450,Mukinbudin,328
LGA451,Mundaring,14962
LGA452,Murchison,81
LGA453,Murray,8192
LGA454,Nannup,1014
LGA455,Narembeen,402
LGA456,Narrogin,2409
LGA457,Nedlands,8407
LGA458,Ngaanyatjarraku,607
LGA459,Northam,5237
LGA460,Northampton,2382
LGA461,Nungarin,135
LGA462,Peppermint Grove,615
LGA463,Perenjori,254
LGA464,Perth,17636
LGA465,Pingelly,553
LGA466,Plantagenet,2676
LGA467,Port Hedland,7942
LGA468,Quairading,499
LGA469,Ravensthorpe,1405
LGA470,Rockingham,54910
LGA471,Sandstone,94
LGA472,Serpentine-Jarrahdale,11234
LGA473,Shark Bay,1295
LGA474,South Perth,20882
LGA475,Stirling,102177
LGA476,Subiaco,8829
LGA477,Swan,58928
LGA478,Tammin,238
LGA479,Three Springs,319
LGA480,Toodyay,2382
LGA481,Trayning,253
LGA482,Upper Gascoyne,159
LGA483,Victoria Park,18019
LGA484,Victoria Plains,411
LGA485,Vincent,18208
LGA486,Wagin,888
LGA487,Wandering,260
LGA488,Wanneroo,78061
LGA489,Waroona,2224
LGA490,West Arthur,376
LGA491,Westonia,147
LGA492,Wickepin,335
LGA493,Williams,507
LGA494,Wiluna,273
LGA495,Wongan-Ballidu,685
LGA496,Woodanilling,221
LGA497,Wyalkatchem,358
LGA498,Wyndham-East Kimberley,4366
LGA499,Yalgoo,139
LGA500,Yilgarn,715
LGA501,York,1883
LGA502,Migratory - Offshore - Shipping (WA),170
LGA503,Break O'Day,4850
LGA504,Brighton,7530
LGA505,Burnie,9274
