location_id,lga_id,State,National Remoteness Areas,SA4 Name 2021,National LGA Name 2021
L286,LGA104,NSW,Major Cities of Australia,Sydney - Inner South West,Strathfield
L287,LGA6,NSW,Major Cities of Australia,Sydney - Inner South West,Bayside
L288,LGA31,NSW,Inner Regional Australia,Coffs Harbour - Grafton,Coffs Harbour
L289,LGA65,NSW,Inner Regional Australia,Newcastle and Lake Macquarie,Lake Macquarie
L290,LGA221,QLD,Outer Regional Australia,Wide Bay,Bundaberg
L291,LGA323,SA,Inner Regional Australia,South Australia - South East,Mid Murray
L292,LGA328,SA,Inner Regional Australia,South Australia - South East,Murray Bridge
L293,LGA78,NSW,Outer Regional Australia,Murray,Murray River
L294,LGA21,NSW,Major Cities of Australia,Sydney - Outer South West,Camden
L295,LGA516,TAS,Inner Regional Australia,Hobart,Glenorchy
L296,LGA55,NSW,Major Cities of Australia,Sydney - North Sydney and Hornsby,Hornsby
L297,LGA96,NSW,Major Cities of Australia,Sydney - Eastern Suburbs,Randwick
L298,LGA104,NSW,Major Cities of Australia,Sydney - Inner West,Strathfield
L299,LGA56,NSW,Major Cities of Australia,Sydney - Ryde,Hunters Hill
L300,LGA199,VIC,Inner Regional Australia,Hume,Wangaratta
L301,LGA90,NSW,Outer Regional Australia,Central West,Parkes
L302,LGA37,NSW,Outer Regional Australia,Far West and Orana,Dubbo Regional
L303,LGA19,NSW,Inner Regional Australia,Richmond - Tweed,Byron
L304,LGA20,NSW,Outer Regional Australia,Far West and Orana,Cabonne
L305,LGA553,ACT,Inner Regional Australia,Australian Capital Territory,Unincorporated ACT
L306,LGA181,VIC,Inner Regional Australia,Ballarat,Moorabool
L307,LGA246,QLD,Outer Regional Australia,Mackay - Isaac - Whitsunday,Isaac
L308,LGA138,VIC,Inner Regional Australia,Hume,Benalla
L309,LGA8,NSW,Inner Regional Australia,Coffs Harbour - Grafton,Bellingen
L310,LGA201,VIC,Inner Regional Australia,Latrobe - Gippsland,Wellington
L311,LGA26,NSW,Inner Regional Australia,Central Coast,Central Coast
L312,LGA39,NSW,Outer Regional Australia,Murray,Edward River
L313,LGA349,SA,Outer Regional Australia,South Australia - South East,Coorong
L314,LGA514,TAS,Outer Regional Australia,Launceston and North East,George Town
L315,LGA98,NSW,Major Cities of Australia,Sydney - Ryde,Ryde
L316,LGA135,VIC,Inner Regional Australia,Latrobe - Gippsland,Bass Coast
L317,LGA271,QLD,Very Remote Australia,Queensland - Outback,Richmond
L318,LGA195,VIC,Inner Regional Australia,Hume,Strathbogie
L319,LGA53,NSW,Remote Australia,Murray,Hay
L320,LGA121,NSW,Outer Regional Australia,Central West,Weddin
L321,LGA181,VIC,Inner Regional Australia,Melbourne - West,Moorabool
L322,LGA178,VIC,Outer Regional Australia,Shepparton,Moira
L323,LGA64,NSW,Outer Regional Australia,Central West,Lachlan
L324,LGA120,NSW,Major Cities of Australia,Sydney - Eastern Suburbs,Waverley
L325,LGA188,VIC,Outer Regional Australia,North West,Northern Grampians
L326,LGA228,QLD,Outer Regional Australia,Townsville,Charters Towers
L327,LGA257,QLD,Outer Regional Australia,Cairns,Mareeba
L328,LGA162,VIC,Outer Regional Australia,North West,Horsham
L329,LGA293,SA,Inner Regional Australia,Adelaide - North,Adelaide Plains
L330,LGA194,VIC,Major Cities of Australia,Melbourne - Inner,Stonnington
L331,LGA327,SA,Outer Regional Australia,Barossa - Yorke - Mid North,Mount Remarkable
L332,LGA45,NSW,Outer Regional Australia,Far West and Orana,Gilgandra
L333,LGA293,SA,Inner Regional Australia,Barossa - Yorke - Mid North,Adelaide Plains
L334,LGA241,QLD,Outer Regional Australia,Darling Downs - Maranoa,Goondiwindi
L335,LGA177,VIC,Inner Regional Australia,Melbourne - North East,Mitchell
L336,LGA226,QLD,Remote Australia,Cairns,Cassowary Coast
L337,LGA303,SA,Outer Regional Australia,Barossa - Yorke - Mid North,Clare and Gilbert Valleys
L338,LGA258,QLD,Inner Regional Australia,Moreton Bay - South,Moreton Bay
L339,LGA356,SA,Major Cities of Australia,Adelaide - West,West Torrens
L340,LGA209,VIC,Outer Regional Australia,North West,Yarriambiack
L341,LGA131,VIC,Outer Regional Australia,Hume,Alpine
L342,LGA103,NSW,Inner Regional Australia,Riverina,Snowy Valleys
L343,LGA203,VIC,Major Cities of Australia,Melbourne - Outer East,Whitehorse
L344,LGA230,QLD,Very Remote Australia,Queensland - Outback,Cloncurry
L345,LGA52,NSW,Outer Regional Australia,Sydney - Baulkham Hills and Hawkesbury,Hawkesbury
L346,LGA284,QLD,Remote Australia,Darling Downs - Maranoa,Western Downs
L347,LGA92,NSW,Major Cities of Australia,Sydney - South West,Penrith
L348,LGA270,QLD,Outer Regional Australia,Brisbane - East,Redland
L349,LGA52,NSW,Major Cities of Australia,Sydney - Baulkham Hills and Hawkesbury,Hawkesbury
L350,LGA526,TAS,Inner Regional Australia,Hobart,Sorell
L351,LGA198,VIC,Outer Regional Australia,Hume,Towong
L352,LGA312,SA,Outer Regional Australia,South Australia - South East,Grant
L353,LGA159,VIC,Inner Regional Australia,Ballarat,Hepburn
L354,LGA227,QLD,Outer Regional Australia,Central Queensland,Central Highlands (Qld)
L355,LGA228,QLD,Remote Australia,Townsville,Charters Towers
L356,LGA12,NSW,Outer Regional Australia,Central West,Blayney
L357,LGA54,NSW,Outer Regional Australia,Capital Region,Hilltops
L358,LGA250,QLD,Inner Regional Australia,Ipswich,Lockyer Valley
L359,LGA0,WA,Major Cities of Australia,Unknown,Unknown
L360,LGA508,TAS,Remote Australia,West and North West,Circular Head
L361,LGA197,VIC,Outer Regional Australia,North West,Swan Hill
L362,LGA79,NSW,Outer Regional Australia,Riverina,Murrumbidgee
L363,LGA0,WA,Inner Regional Australia,Unknown,Unknown
L364,LGA0,WA,Outer Regional Australia,Unknown,Unknown
L365,LGA113,NSW,Outer Regional Australia,Capital Region,Upper Lachlan
L366,LGA89,NSW,Inner Regional Australia,Central West,Orange
L367,LGA523,TAS,Inner Regional Australia,Launceston and North East,Launceston
L368,LGA35,NSW,Outer Regional Australia,Central West,Cowra
L369,LGA354,SA,Major Cities of Australia,Adelaide - Central and Hills,Walkerville
L370,LGA6,NSW,Major Cities of Australia,Sydney - City and Inner South,Bayside
L371,LGA105,NSW,Inner Regional Australia,Illawarra,Sutherland
L372,LGA203,VIC,Major Cities of Australia,Melbourne - Inner East,Whitehorse
L373,LGA0,WA,Remote Australia,Unknown,Unknown
L374,LGA122,NSW,Remote Australia,Murray,Wentworth
L375,LGA528,TAS,Outer Regional Australia,South East,Tasman
L376,LGA522,TAS,Outer Regional Australia,West and North West,Latrobe (Tas.)
L377,LGA337,SA,Outer Regional Australia,South Australia - Outback,Port Augusta
L378,LGA138,VIC,Outer Regional Australia,Hume,Benalla
L379,LGA71,NSW,Outer Regional Australia,New England and North West,Liverpool Plains
L380,LGA183,VIC,Inner Regional Australia,Mornington Peninsula,Mornington Peninsula
L381,LGA214,QLD,Outer Regional Australia,Central Queensland,Banana
L382,LGA0,WA,Very Remote Australia,Unknown,Unknown
L383,LGA325,SA,Major Cities of Australia,Adelaide - Central and Hills,Mount Barker
L384,LGA57,NSW,Major Cities of Australia,Sydney - City and Inner South,Inner West
L385,LGA168,VIC,Outer Regional Australia,Bendigo,Loddon
L386,LGA40,NSW,Inner Regional Australia,Capital Region,Eurobodalla
L387,LGA105,NSW,Major Cities of Australia,Sydney - Sutherland,Sutherland
L388,LGA545,NT,Very Remote Australia,Northern Territory - Outback,Roper Gulf
L389,LGA297,SA,Outer Regional Australia,Barossa - Yorke - Mid North,Barunga West
L390,LGA107,NSW,Inner Regional Australia,New England and North West,Tamworth Regional
L391,LGA530,TAS,Remote Australia,West and North West,West Coast
L392,LGA347,SA,Outer Regional Australia,South Australia - South East,Tatiara
L393,LGA102,NSW,Inner Regional Australia,Capital Region,Snowy Monaro Regional
L394,LGA236,QLD,Very Remote Australia,Queensland - Outback,Etheridge
L395,LGA11,NSW,Outer Regional Australia,Central West,Bland
L396,LGA88,NSW,Outer Regional Australia,Central West,Oberon
L397,LGA256,QLD,Outer Regional Australia,Darling Downs - Maranoa,Maranoa
L398,LGA149,VIC,Remote Australia,Latrobe - Gippsland,East Gippsland
L399,LGA147,VIC,Inner Regional Australia,Warrnambool and South West,Corangamite
L400,LGA360,SA,Outer Regional Australia,Barossa - Yorke - Mid North,Yorke Peninsula
L401,LGA510,TAS,Inner Regional Australia,Hobart,Derwent Valley
L402,LGA55,NSW,Major Cities of Australia,Sydney - Ryde,Hornsby
L403,LGA339,SA,Outer Regional Australia,Barossa - Yorke - Mid North,Port Pirie
L404,LGA80,NSW,Outer Regional Australia,Hunter Valley exc Newcastle,Muswellbrook
L405,LGA508,TAS,Outer Regional Australia,West and North West,Circular Head
L406,LGA511,TAS,Outer Regional Australia,West and North West,Devonport
L407,LGA237,QLD,Very Remote Australia,Queensland - Outback,Flinders (Qld)
L408,LGA18,NSW,Major Cities of Australia,Sydney - Inner West,Burwood
L409,LGA533,NT,Remote Australia,Northern Territory - Outback,Alice Springs
L410,LGA81,NSW,Outer Regional Australia,Mid North Coast,Nambucca Valley
L411,LGA274,QLD,Outer Regional Australia,Moreton Bay - North,Somerset
L412,LGA64,NSW,Remote Australia,Central West,Lachlan
L413,LGA51,NSW,Outer Regional Australia,New England and North West,Gwydir
L414,LGA336,SA,Major Cities of Australia,Adelaide - North,Port Adelaide Enfield
L415,LGA169,VIC,Inner Regional Australia,Bendigo,Macedon Ranges
L416,LGA134,VIC,Major Cities of Australia,Melbourne - North East,Banyule
L417,LGA69,NSW,Outer Regional Australia,Central West,Lithgow
L418,LGA42,NSW,Inner Regional Australia,Murray,Federation
L419,LGA115,NSW,Outer Regional Australia,Riverina,Wagga Wagga
L420,LGA33,NSW,Remote Australia,Far West and Orana,Coonamble
L421,LGA60,NSW,Inner Regional Australia,Mid North Coast,Kempsey
L422,LGA25,NSW,Outer Regional Australia,Riverina,Carrathool
L423,LGA216,QLD,Very Remote Australia,Queensland - Outback,Barcoo
L424,LGA257,QLD,Outer Regional Australia,Queensland - Outback,Mareeba
L425,LGA161,VIC,Major Cities of Australia,Melbourne - West,Hobsons Bay
L426,LGA108,NSW,Outer Regional Australia,Riverina,Temora
L427,LGA315,SA,Outer Regional Australia,South Australia - South East,Karoonda East Murray
