location_id,lga_id,State,National Remoteness Areas,SA4 Name 2021,National LGA Name 2021
L1,LGA115,NSW,Inner Regional Australia,Riverina,Wagga Wagga
L2,LGA52,NSW,Inner Regional Australia,Sydney - Baulkham Hills and Hawkesbury,Hawkesbury
L3,LGA525,TAS,Inner Regional Australia,Launceston and North East,Northern Midlands
L4,LGA2,NSW,Outer Regional Australia,New England and North West,Armidale Regional
L5,LGA250,QLD,Inner Regional Australia,Toowoomba,Lockyer Valley
L6,LGA353,SA,Outer Regional Australia,Barossa - Yorke - Mid North,Wakefield
L7,LGA0,WA,Unknown,Unknown,Unknown
L8,LGA276,QLD,Inner Regional Australia,Darling Downs - Maranoa,Southern Downs
L9,LGA504,TAS,Inner Regional Australia,Hobart,Brighton
L10,LGA531,TAS,Outer Regional Australia,Launceston and North East,West Tamar
L11,LGA323,SA,Outer Regional Australia,South Australia - South East,Mid Murray
L12,LGA13,NSW,Major Cities of Australia,Sydney - Outer West and Blue Mountains,Blue Mountains
L13,LGA113,NSW,Inner Regional Australia,Capital Region,Upper Lachlan
L14,LGA355,SA,Outer Regional Australia,South Australia - South East,Wattle Range
L15,LGA224,QLD,Outer Regional Australia,Cairns,Cairns
L16,LGA553,ACT,Major Cities of Australia,Australian Capital Territory,Unincorporated ACT
L17,LGA126,NSW,Major Cities of Australia,Illawarra,Wollongong
L18,LGA92,NSW,Major Cities of Australia,Sydney - Outer West and Blue Mountains,Penrith
L19,LGA112,NSW,Outer Regional Australia,Hunter Valley exc Newcastle,Upper Hunter
L20,LGA275,QLD,Outer Regional Australia,Wide Bay,South Burnett
L21,LGA75,NSW,Outer Regional Australia,Central West,Mid-Western Regional
L22,LGA24,NSW,Major Cities of Australia,Sydney - Inner South West,Canterbury-Bankstown
L23,LGA177,VIC,Inner Regional Australia,Hume,Mitchell
L24,LGA48,NSW,Outer Regional Australia,Murray,Greater Hume
L25,LGA276,QLD,Outer Regional Australia,Darling Downs - Maranoa,Southern Downs
L26,LGA296,SA,Inner Regional Australia,Barossa - Yorke - Mid North,Barossa
L27,LGA93,NSW,Inner Regional Australia,Mid North Coast,Port Macquarie-Hastings
L28,LGA253,QLD,Outer Regional Australia,Mackay - Isaac - Whitsunday,Mackay
L29,LGA235,QLD,Outer Regional Australia,Cairns,Douglas
L30,LGA359,SA,Inner Regional Australia,South Australia - South East,Yankalilla
L31,LGA251,QLD,Major Cities of Australia,Logan - Beaudesert,Logan
L32,LGA512,TAS,Outer Regional Australia,Launceston and North East,Dorset
L33,LGA2,NSW,Inner Regional Australia,New England and North West,Armidale Regional
L34,LGA81,NSW,Inner Regional Australia,Mid North Coast,Nambucca Valley
L35,LGA84,NSW,Outer Regional Australia,Far West and Orana,Narromine
L36,LGA238,QLD,Inner Regional Australia,Wide Bay,Fraser Coast
L37,LGA361,SA,Very Remote Australia,South Australia - Outback,Unincorporated SA
L38,LGA99,NSW,Major Cities of Australia,Illawarra,Shellharbour
L39,LGA82,NSW,Outer Regional Australia,New England and North West,Narrabri
L40,LGA251,QLD,Inner Regional Australia,Logan - Beaudesert,Logan
L41,LGA231,QLD,Remote Australia,Queensland - Outback,Cook
L42,LGA109,NSW,Outer Regional Australia,New England and North West,Tenterfield
L43,LGA155,VIC,Inner Regional Australia,Bendigo,Greater Bendigo
L44,LGA26,NSW,Major Cities of Australia,Central Coast,Central Coast
L45,LGA107,NSW,Outer Regional Australia,New England and North West,Tamworth Regional
L46,LGA204,VIC,Major Cities of Australia,Melbourne - North East,Whittlesea
L47,LGA54,NSW,Inner Regional Australia,Capital Region,Hilltops
L48,LGA43,NSW,Outer Regional Australia,Central West,Forbes
L49,LGA279,QLD,Inner Regional Australia,Toowoomba,Toowoomba
L50,LGA65,NSW,Major Cities of Australia,Newcastle and Lake Macquarie,Lake Macquarie
L51,LGA248,QLD,Remote Australia,Central Queensland,Livingstone
L52,LGA525,TAS,Outer Regional Australia,Launceston and North East,Northern Midlands
L53,LGA10,NSW,Major Cities of Australia,Sydney - Blacktown,Blacktown
L54,LGA37,NSW,Inner Regional Australia,Far West and Orana,Dubbo Regional
L55,LGA4,NSW,Outer Regional Australia,Murray,Balranald
L56,LGA249,QLD,Very Remote Australia,Queensland - Outback,Lockhart River
L57,LGA154,VIC,Inner Regional Australia,Ballarat,Golden Plains
L58,LGA318,SA,Inner Regional Australia,Barossa - Yorke - Mid North,Light
L59,LGA245,QLD,Major Cities of Australia,Ipswich,Ipswich
L60,LGA226,QLD,Outer Regional Australia,Cairns,Cassowary Coast
L61,LGA350,SA,Remote Australia,South Australia - Outback,Tumby Bay
L62,LGA70,NSW,Major Cities of Australia,Sydney - South West,Liverpool
L63,LGA36,NSW,Major Cities of Australia,Sydney - Parramatta,Cumberland
L64,LGA80,NSW,Inner Regional Australia,Hunter Valley exc Newcastle,Muswellbrook
L65,LGA258,QLD,Inner Regional Australia,Moreton Bay - North,Moreton Bay
L66,LGA3,NSW,Inner Regional Australia,Richmond - Tweed,Ballina
L67,LGA0,VIC,Unknown,Unknown,Unknown
L68,LGA63,NSW,Inner Regional Australia,Richmond - Tweed,Kyogle
L69,LGA221,QLD,Inner Regional Australia,Wide Bay,Bundaberg
L70,LGA174,VIC,Major Cities of Australia,Melbourne - Inner,Melbourne
L71,LGA219,QLD,Major Cities of Australia,Brisbane - South,Brisbane
L72,LGA103,NSW,Outer Regional Australia,Riverina,Snowy Valleys
L73,LGA285,QLD,Outer Regional Australia,Mackay - Isaac - Whitsunday,Whitsunday
L74,LGA41,NSW,Major Cities of Australia,Sydney - South West,Fairfield
L75,LGA128,NSW,Inner Regional Australia,Capital Region,Yass Valley
L76,LGA227,QLD,Remote Australia,Central Queensland,Central Highlands (Qld)
L77,LGA110,NSW,Major Cities of Australia,Sydney - Baulkham Hills and Hawkesbury,The Hills
L78,LGA344,SA,Major Cities of Australia,Adelaide - North,Salisbury
L79,LGA94,NSW,Inner Regional Australia,Hunter Valley exc Newcastle,Port Stephens
L80,LGA169,VIC,Inner Regional Australia,Melbourne - North West,Macedon Ranges
L81,LGA185,VIC,Inner Regional Australia,Warrnambool and South West,Moyne
L82,LGA143,VIC,Major Cities of Australia,Melbourne - South East,Cardinia
L83,LGA149,VIC,Outer Regional Australia,Latrobe - Gippsland,East Gippsland
L84,LGA55,NSW,Major Cities of Australia,Sydney - Baulkham Hills and Hawkesbury,Hornsby
L85,LGA257,QLD,Very Remote Australia,Queensland - Outback,Mareeba
L86,LGA74,NSW,Inner Regional Australia,Mid North Coast,Mid-Coast
L87,LGA272,QLD,Inner Regional Australia,Central Queensland,Rockhampton
L88,LGA245,QLD,Inner Regional Australia,Ipswich,Ipswich
L89,LGA153,VIC,Outer Regional Australia,Warrnambool and South West,Glenelg
L90,LGA284,QLD,Outer Regional Australia,Darling Downs - Maranoa,Western Downs
L91,LGA336,SA,Major Cities of Australia,Adelaide - West,Port Adelaide Enfield
L92,LGA20,NSW,Outer Regional Australia,Central West,Cabonne
L93,LGA240,QLD,Major Cities of Australia,Gold Coast,Gold Coast
L94,LGA150,VIC,Major Cities of Australia,Mornington Peninsula,Frankston
L95,LGA76,NSW,Outer Regional Australia,New England and North West,Moree Plains
L96,LGA91,NSW,Major Cities of Australia,Sydney - Parramatta,Parramatta
L97,LGA524,TAS,Outer Regional Australia,Launceston and North East,Meander Valley
L98,LGA95,NSW,Major Cities of Australia,Capital Region,Queanbeyan-Palerang Regional
L99,LGA102,NSW,Outer Regional Australia,Capital Region,Snowy Monaro Regional
L100,LGA42,NSW,Outer Regional Australia,Murray,Federation
L101,LGA219,QLD,Major Cities of Australia,Brisbane Inner City,Brisbane
L102,LGA35,NSW,Inner Regional Australia,Central West,Cowra
L103,LGA47,NSW,Inner Regional Australia,Capital Region,Goulburn Mulwaree
L104,LGA258,QLD,Major Cities of Australia,Moreton Bay - South,Moreton Bay
L105,LGA242,QLD,Inner Regional Australia,Wide Bay,Gympie
L106,LGA123,NSW,Major Cities of Australia,Sydney - North Sydney and Hornsby,Willoughby
L107,LGA100,NSW,Inner Regional Australia,Capital Region,Shoalhaven
L108,LGA95,NSW,Inner Regional Australia,Capital Region,Queanbeyan-Palerang Regional
L109,LGA187,VIC,Inner Regional Australia,Melbourne - North East,Nillumbik
L110,LGA126,NSW,Inner Regional Australia,Illawarra,Wollongong
L111,LGA275,QLD,Inner Regional Australia,Wide Bay,South Burnett
L112,LGA347,SA,Remote Australia,South Australia - South East,Tatiara
L113,LGA111,NSW,Inner Regional Australia,Richmond - Tweed,Tweed
L114,LGA74,NSW,Outer Regional Australia,Mid North Coast,Mid-Coast
L115,LGA132,VIC,Inner Regional Australia,North West,Ararat
L116,LGA146,VIC,Inner Regional Australia,Warrnambool and South West,Colac Otway
L117,LGA254,QLD,Very Remote Australia,Queensland - Outback,McKinlay
L118,LGA101,NSW,Inner Regional Australia,Hunter Valley exc Newcastle,Singleton
L119,LGA239,QLD,Outer Regional Australia,Central Queensland,Gladstone
L120,LGA69,NSW,Inner Regional Australia,Central West,Lithgow
L121,LGA22,NSW,Major Cities of Australia,Sydney - Outer South West,Campbelltown
L122,LGA277,QLD,Major Cities of Australia,Sunshine Coast,Sunshine Coast
L123,LGA119,NSW,Outer Regional Australia,Far West and Orana,Warrumbungle
L124,LGA263,QLD,Major Cities of Australia,Sunshine Coast,Noosa
L125,LGA94,NSW,Major Cities of Australia,Newcastle and Lake Macquarie,Port Stephens
L126,LGA258,QLD,Major Cities of Australia,Moreton Bay - North,Moreton Bay
L127,LGA310,SA,Major Cities of Australia,Adelaide - North,Gawler
L128,LGA131,VIC,Inner Regional Australia,Hume,Alpine
L129,LGA20,NSW,Inner Regional Australia,Central West,Cabonne
L130,LGA219,QLD,Major Cities of Australia,Ipswich,Brisbane
L131,LGA136,VIC,Inner Regional Australia,Latrobe - Gippsland,Baw Baw
L132,LGA246,QLD,Remote Australia,Mackay - Isaac - Whitsunday,Isaac
L133,LGA256,QLD,Remote Australia,Darling Downs - Maranoa,Maranoa
L134,LGA193,VIC,Outer Regional Australia,Warrnambool and South West,Southern Grampians
L135,LGA28,NSW,Inner Regional Australia,Hunter Valley exc Newcastle,Cessnock
L136,LGA273,QLD,Inner Regional Australia,Logan - Beaudesert,Scenic Rim
L137,LGA274,QLD,Inner Regional Australia,Ipswich,Somerset
L138,LGA243,QLD,Remote Australia,Townsville,Hinchinbrook
L139,LGA253,QLD,Inner Regional Australia,Mackay - Isaac - Whitsunday,Mackay
L140,LGA194,VIC,Major Cities of Australia,Melbourne - Inner South,Stonnington
L141,LGA335,SA,Major Cities of Australia,Adelaide - North,Playford
L142,LGA30,NSW,Very Remote Australia,Far West and Orana,Cobar
L143,LGA132,VIC,Outer Regional Australia,North West,Ararat
L144,LGA292,SA,Inner Regional Australia,Adelaide - Central and Hills,Adelaide Hills
L145,LGA7,NSW,Outer Regional Australia,Capital Region,Bega Valley
L146,LGA348,SA,Major Cities of Australia,Adelaide - North,Tea Tree Gully
L147,LGA61,NSW,Inner Regional Australia,Illawarra,Kiama
L148,LGA185,VIC,Outer Regional Australia,Warrnambool and South West,Moyne
L149,LGA125,NSW,Inner Regional Australia,Sydney - Outer South West,Wollondilly
L150,LGA273,QLD,Inner Regional Australia,Ipswich,Scenic Rim
L151,LGA144,VIC,Major Cities of Australia,Melbourne - South East,Casey
L152,LGA330,SA,Outer Regional Australia,Barossa - Yorke - Mid North,Northern Areas
L153,LGA278,QLD,Outer Regional Australia,Cairns,Tablelands
L154,LGA106,NSW,Major Cities of Australia,Sydney - City and Inner South,Sydney
L155,LGA186,VIC,Inner Regional Australia,Hume,Murrindindi
L156,LGA1,NSW,Inner Regional Australia,Murray,Albury
L157,LGA139,VIC,Major Cities of Australia,Melbourne - Inner East,Boroondara
L158,LGA270,QLD,Major Cities of Australia,Brisbane - East,Redland
L159,LGA335,SA,Inner Regional Australia,Adelaide - North,Playford
L160,LGA192,VIC,Inner Regional Australia,Latrobe - Gippsland,South Gippsland
L161,LGA243,QLD,Outer Regional Australia,Townsville,Hinchinbrook
